stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
169,169,Blasco Ibáñez - Bèlgica,,4372922.599,727522.652,,,0,
1690,1690,Giorgeta - Albacete,,4371258.226,724887.874,,,0,
1691,1691,Pérez Galdós - Martínez Aloy,,4371460.016875,724765.906125,,,0,
1692,1692,Pérez Galdós - Heroi Romeu,,4371897.466,724509.672,,,0,
1693,1693,Trànsits,,4374305.415,724695.377,,,0,
1694,1694,Primat Reig - Dr. Gómez Ferrer,,4373572.61,727032.018,,,0,
1695,1695,Cardenal Benlloch - Dr. Ferran,,4372231.884,727494.166,,,0,
1696,1696,Jesús,,4370988.141,725015.731,,,0,
17,17,Cavite - Font d'en Carròs,,4373626.458,729925.074,,,0,
170,170,Dr. Gómez Ferrer - Menéndez y Pelayo,,4373366.614,726993.287,,,0,
1700,1700,Camp del Túria - Marina Baixa,,4374652.223,723008.442,,,0,
1706,1706,Pinedo,,4366716.894,729330.504,,,0,
171,171,Cavanilles - Primat Reig,,4373805.628,726690.511,,,0,
1714,1714,Fires(imparell) - Cementeri,,4376054.922,721423.645,,,0,
1715,1715,Fires(parell) - Cementeri,,4376062.343,721452.095,,,0,
1716,1716,Ferran el Catòlic - S. Ignacio de Loyola,,4372648.428,724673.08,,,0,
172,172,Cavanilles - Álvaro de Bazán,,4373580.353,726606.077,,,0,
1720,1720,Corts Valencianes - Constitució,,4376555.679,726515.692,,,0,
1721,1721,Corts Valencianes - Dr. Barraquer,,4376547.457,726526.471,,,0,
1723,1723,Ribàs(parell) - Dr. Ruiz Comes,,4367946.755,727234.947,,,0,
1724,1724,Ribàs(imparell) - Dr. Ruiz Comes,,4367941.146,727248.806,,,0,
173,173,Cavanilles - Vivers,,4373372.433,726532.81,,,0,
1733,1733,Hospital Dr. Peset,,4370206.688,724288.952,,,0,
1734,1734,Carda - Moro Zeit,,4372777.315,725285.45,,,0,
